   60545; 146797.0; 167.083; 1.00;"FINE1"
   65226; 146527.0; 166.541; 1.00;"FINE1"
   69906; 146260.0; 165.678; 1.00;"FINE1"
   74587; 145996.0; 165.726; 1.00;"FINE1"
   79267; 145734.0; 165.556; 1.00;"FINE1"
   83948; 145474.0; 164.607; 1.00;"FINE1"
   88629; 145216.0; 164.442; 1.00;"FINE1"
   93309; 144959.0; 164.678; 1.00;"FINE1"
   97990; 144704.0; 164.632; 1.00;"FINE1"
  102672; 144450.0; 164.197; 1.00;"FINE1"
  107362; 144196.0; 164.048; 1.00;"FINE1"
  112051; 143944.0; 163.908; 1.00;"FINE1"
  116741; 143693.0; 163.768; 1.00;"FINE1"
  121430; 143443.0; 163.575; 1.00;"FINE1"
  126119; 143194.0; 163.363; 1.00;"FINE1"
  130809; 142946.0; 163.209; 1.00;"FINE1"
  135498; 142699.0; 162.580; 1.00;"FINE1"
  140188; 142453.0; 162.768; 1.00;"FINE1"
  150042; 141939.0; 162.502; 1.00;"FINE1"
  154708; 141697.0; 162.111; 1.00;"FINE1"
  159375; 141456.0; 162.428; 1.00;"FINE1"
  164042; 141215.0; 162.440; 1.00;"FINE1"
  168708; 140976.0; 162.366; 1.00;"FINE1"
  173375; 140737.0; 162.174; 1.00;"FINE1"
  178042; 140499.0; 161.620; 1.00;"FINE1"
  182708; 140262.0; 161.468; 1.00;"FINE1"
  187375; 140025.0; 161.333; 1.00;"FINE1"
  192044; 139789.0; 161.540; 1.00;"FINE1"
  196718; 139554.0; 161.468; 1.00;"FINE1"
  201393; 139320.0; 161.104; 1.00;"FINE1"
  206068; 139086.0; 161.128; 1.00;"FINE1"
  210743; 138853.0; 160.997; 1.00;"FINE1"
  215417; 138621.0; 160.899; 1.00;"FINE1"
  220092; 138389.0; 160.882; 1.00;"FINE1"
  224767; 138159.0; 160.895; 1.00;"FINE1"
  229441; 137929.0; 160.990; 1.00;"FINE1"
  239542; 137434.0; 160.906; 1.00;"FINE1"
  244208; 137207.0; 160.726; 1.00;"FINE1"
  248875; 136980.0; 160.611; 1.00;"FINE1"
  253542; 136754.0; 160.521; 1.00;"FINE1"
  258208; 136529.0; 160.311; 1.00;"FINE1"
  262875; 136304.0; 160.166; 1.00;"FINE1"
  267542; 136080.0; 160.380; 1.00;"FINE1"
  272208; 135857.0; 160.326; 1.00;"FINE1"
  276875; 135635.0; 160.020; 1.00;"FINE1"
  281542; 135413.0; 159.737; 1.00;"FINE1"
  286208; 135192.0; 159.803; 1.00;"FINE1"
  290875; 134971.0; 160.039; 1.00;"FINE1"
  295542; 134751.0; 160.016; 1.00;"FINE1"
  300208; 134532.0; 159.736; 1.00;"FINE1"
  304875; 134313.0; 159.551; 1.00;"FINE1"
  309542; 134096.0; 159.587; 1.00;"FINE1"
  314208; 133878.0; 159.651; 1.00;"FINE1"
  318875; 133662.0; 159.502; 1.00;"FINE1"
  323540; 133446.0; 159.675; 1.00;"FINE1"
  328200; 133231.0; 160.325; 1.00;"FINE1"
  332860; 133016.0; 160.240; 1.00;"FINE1"
  337520; 132802.0; 160.051; 1.00;"FINE1"
  342180; 132589.0; 160.317; 1.00;"FINE1"
  346840; 132376.0; 160.342; 1.00;"FINE1"
  351500; 132163.0; 160.079; 1.00;"FINE1"
  356160; 131951.0; 160.013; 1.00;"FINE1"
  360820; 131740.0; 160.118; 1.00;"FINE1"
  370667; 131296.0; 159.525; 1.00;"FINE1"
  375333; 131086.0; 158.970; 1.00;"FINE1"
  380000; 130877.0; 158.385; 1.00;"FINE1"
  384667; 130669.0; 157.813; 1.00;"FINE1"
  389333; 130461.0; 157.672; 1.00;"FINE1"
  394000; 130255.0; 157.336; 1.00;"FINE1"
  398667; 130049.0; 157.267; 1.00;"FINE1"
  403333; 129843.0; 157.215; 1.00;"FINE1"
  408000; 129639.0; 156.582; 1.00;"FINE1"
  412665; 129435.0; 156.200; 1.00;"FINE1"
  417325; 129232.0; 156.192; 1.00;"FINE1"
  421985; 129030.0; 155.931; 1.00;"FINE1"
  426645; 128829.0; 155.973; 1.00;"FINE1"
  431305; 128628.0; 156.044; 1.00;"FINE1"
  435965; 128428.0; 156.090; 1.00;"FINE1"
  440625; 128228.0; 156.372; 1.00;"FINE1"
  445285; 128029.0; 156.206; 1.00;"FINE1"
  449945; 127831.0; 156.151; 1.00;"FINE1"
  459792; 127413.0; 156.190; 1.00;"FINE1"
  464458; 127216.0; 156.203; 1.00;"FINE1"
  469125; 127019.0; 156.206; 1.00;"FINE1"
  473792; 126823.0; 156.195; 1.00;"FINE1"
  478458; 126628.0; 156.092; 1.00;"FINE1"
  483125; 126432.0; 156.026; 1.00;"FINE1"
  487792; 126238.0; 156.006; 1.00;"FINE1"
  492458; 126044.0; 155.683; 1.00;"FINE1"
  497125; 125850.0; 155.429; 1.00;"FINE1"
  501792; 125657.0; 155.367; 1.00;"FINE1"
  506458; 125465.0; 155.197; 1.00;"FINE1"
  511125; 125273.0; 155.111; 1.00;"FINE1"
  515792; 125082.0; 155.067; 1.00;"FINE1"
  520458; 124891.0; 154.948; 1.00;"FINE1"
  525125; 124701.0; 155.189; 1.00;"FINE1"
  529792; 124511.0; 155.311; 1.00;"FINE1"
  534458; 124322.0; 155.379; 1.00;"FINE1"
  539125; 124133.0; 155.348; 1.00;"FINE1"
  543794; 123945.0; 155.086; 1.00;"FINE1"
  548468; 123756.0; 155.266; 1.00;"FINE1"
  553143; 123569.0; 155.341; 1.00;"FINE1"
  557818; 123382.0; 155.218; 1.00;"FINE1"
